game,score,comment,type
stardew-valley,90,"I have been seriously charmed by Stardew Valley; there certainly isn’t much about it that I dislike. I like its subtle tactical elements and time management that thread through all of the activities you can do. It’s without a doubt currently my favourite game this year, and I feel it might take something pretty incredible to knock it off.",critic-reviews
stardew-valley,90,"It's not often that we see a one-man project leave such an impact on the gaming community, collectively putting us into the ""just one more turn/day"" mindset, but Stardew Valley manages it in a spectacular way.",critic-reviews
stardew-valley,90,"Stardew Valley is the best and most entertaining farming RPG to come along in years, and it's filled with such sheer charm and sincerity that it'll instantly win you over.",critic-reviews
stardew-valley,90,"Stardew Valley is a peaceful farming game with delightful retro graphics, tons of content and very addicting gameplay. In addition to farming, the game also offers various other activities such as fishing, crafting and quest solving. There are also big dungeons to explore and monsters to kill, but these adventure parts of the game feel a bit lackluster. [May 2016]",critic-reviews
stardew-valley,90,"A farm simulator that’s both simple and smart, with game mechanics and features taken from other popular games and genres. One of the best indie games to date.",critic-reviews
stardew-valley,90,"From Spring to Summer, to Fall and Winter, season changes will render certain crops dead. You have to plan ahead – farming doesn’t even occur in winter – and your jobs remain engrossing day-in, day-out. That’s Stardew Valley’s greatest strength – it gives you a load of interesting things to do in your new life, rewards you whichever you choose to do, and it always feels like more than just a farming game.",critic-reviews
stardew-valley,90,"Don't start this game if you value relationships, your job, your social life, and having free time. Stardew Valley will take all of that away from you, but it's okay because it's a great game.",critic-reviews
stardew-valley,88,"Though some quirks might unnecessarily keep players at arm’s length, those willing to grapple with the more arcane aspects of Stardew Valley are in for a world of delight.",critic-reviews
stardew-valley,88,"With so many interconnected systems, from the farm simulation to simple combat and cooking to crafting, and each driving the others forward in some way, it’s a deeper and more complex game than you’d expect after the first day on the farm. There’s plenty to do while I wait to uncover more of the Valley’s secrets, and the prospect of filling my days with new adventures or just a better harvest is too enticing to pass up.",critic-reviews
stardew-valley,87,"We know it looks like yet another farming simulator, but Stardew Valley is much more. It's so well-crafted, smart and deep that it made us fall in love with it in a matter of minutes.",critic-reviews
stardew-valley,86,"It's a trip to the countryside with incredibly motivating game mechanics. Once you're there, you won't come back very soon.",critic-reviews
stardew-valley,85,"Stardew Valley is like Harvest Moon, but with a lot more content.",critic-reviews
stardew-valley,85,Stardew Valley is a charming farm simulator with the essence of classics Harvest Moon.,critic-reviews
stardew-valley,85,"Stardew Valley is a fine, smart farm simulation game. It is slow and it involves a lot of daily tasks, but in Stardew Valley there is something ingenious about those tasks.",critic-reviews
stardew-valley,80,Stardew Valley’s blend of pixel charm and gentle pacing makes for an excellent little escape.,critic-reviews
stardew-valley,80,Stardew Valley is a highly addictive love letter to the Harvest Moon series with some welcome additions and a wide range of activities to keep you interested.,critic-reviews
stardew-valley,80,"While Natsume spent the last years trying to recapture the former glory of its Harvest Moon brand without avail, this one man project gives you exactly what you've been missing. I just wish that Stardew Vally would at least once in a while leave the well known path and show some more identity.",critic-reviews
stardew-valley,80,Complex building strategy proves that farming simulators don´t need to be as simple as FarmVille. It's a perfect game alternative to movies like The Straight Story. [Issue#263],critic-reviews
stardew-valley,73,"Despite all odds, it seems Stardew Valley is a different game than the one it mimics. And a pretty fun, different game at that.",critic-reviews
stardew-valley,tbd,"Stardew Valley is the rare kind of imitation that breaks free of the boundaries of its inspiration, becoming more than just a clone but an experience that thrives independent of its origins.",critic-reviews
stardew-valley,tbd,"Stardew Valley is a sweet, well-made, and forward-thinking meditation on country life that borrows intelligently from games like Harvest Moon, Animal Crossing, and Zelda, without simply being a tired copy.",critic-reviews
stardew-valley,10,esse jogo tem um defeito apenas.... infelizmente eu não consigo pegar mulher casada:(,user-reviews
stardew-valley,10,The best PC game I've ever played. You never gonna be regret it. **** Valley is an exceptional game that offers an immersive and engaging experience for players of all ages and skill levels Thanks to Eric Barone.,user-reviews
stardew-valley,10,great piece of art and love!!! perfect game for relaxing and funny hours!! its just a Masterpiece!!! nothing more to say!,user-reviews
stardew-valley,9,"Se podría decir que es el mejor juego y el mas completo de este género. Totalmente recomendado si un gustan los simuladores agrícolas, la pesca, el pixel art....",user-reviews
stardew-valley,9,Honestly I don't have a much to say other than it's a really good game but there's always room for improvement,user-reviews
stardew-valley,6,"Work hard. Get screwed over. Entire game is nothing but minigames. This overrated trash is mobile tier trash. Overly demanding for little reward. Fine, if you wanna make this hard for me. I'll make it hard for this game.",user-reviews
stardew-valley,10,"Гра прекрасна,вміє заспокоювати але іноді може і підгоріти",user-reviews
stardew-valley,7,"Overall this game is a very comfy RPG. There is no real time limit on completing the game but it does have a time system that keeps things moving and keeps me trying to optimize my farm wasting as little time as possible. Which for me is engaging and enjoyable. Mostly you'll be doing the following 1. Farming, 2. Fishing, 3. Mining/Dungeon Crawling 4. Forestry/Foraging 5. Giving gifts and chatting up the townsfolk The more you do steps 1-4 the more money you make or resources you acquire to grow your new farm. Becoming friendly with the townfolk allows some romance options as well as unlocking additional content that they will often send you as recipes in the mail. Each NPC has a birthday so it's good to check your calendar in the morning so you don't miss out on those bonus friendship gifts. Sadly I have to deduct points for the inclusion of Junimo Kart. This mini game is just full of horrible design choices. Really the entire thing is just bad. It's optional for the most part; except some end game quests which are still optional but for such a polished game to include this borderline broken inclusion just bothers me. Here's a list of issues with the minigame: randomly generated levels, unnatural level design, you can jump above the screen and the camera is locked so it's very easy to lose your position, platforms also spawn at the very top of the level (if you jump on them you're blind). I get the dev probably just wanted to include something simple to spice things up but seriously this is worse then flash game platformers from 20 years ago. It's really just a waste of time sadly. If there are any junimo kart enjoyers out there I would honestly be surprised. Journey of the Prairie King (the other minigame) isn't good either, but I would at least consider it playable.",user-reviews
stardew-valley,8,i dont usually like 2d games but this one is good,user-reviews
stardew-valley,8,"Generally not my genre but this game is very good, for a game I expected to be ""funny farmer game"" it was an amazing experience and I recommend to people of all genres.",user-reviews
stardew-valley,8,"It's a shame that I wasn't able to enjoy this game more, because there is certainly a masterpiece here. I just never found it.",user-reviews
stardew-valley,10,"Quite cozy and chill game, especially when played with a or a friend. partner",user-reviews
stardew-valley,10,Amazing can have krobus as baba,user-reviews
stardew-valley,10,magnifique,user-reviews
stardew-valley,9,What a great experience i can spend days playing just tending my crops and creating artisan products.Very charming pixel art and lovely animals.A true gem a must for farm lovers.,user-reviews
stardew-valley,8,"**** valley is the best farming sim I've ever played, while passage of time feels rushed which takes away from the relaxation the game has a thriving modding community that is usually able to fix your problems and enhance your game. This makes **** a product replayable on the levels of things like Skyrim, always leaving you new ways to play.",user-reviews
stardew-valley,9,"**** Valley is a joy to play. Each in game day takes about 15 minutes to complete and I constantly found myself saying 'just one more day' late into the night. At this point I have had 2 singleplayer playthroughs and played 3 different multiplayer playthroughs. The game is super relaxing, though at the beginning it can feel a bit overwhelming. There is so much to do and not enough energy! Soon enough you'll have cleaned up your farm and get lost fishing an entire day away. You'll soon find yourself planning your next days activity well in advanced. Is it going to rain? How many crops do I want to plant? Man that is going to be a lot of watering if I do that... The main downside to **** Valley is that you really have to give yourself goals. The game is open ended as far as 'beating' the game. I wouldn't say it's hard to 'beat' the game or anything, which really boils down to can you complete a set of different turn-ins the game sets out for you. It can be a bit of a collectathon in someways, but its definitely not egregious. The romance options can seem a bit limiting, but largely this is due to the fact that it took a lot of inspiration from the Harvest Moon series. Of course that really setup the general set of gameplay, but I believe it perfected the art/genre for Harvest Moon style games. I feel its worth mentioning that this game was fully developed by one person, which in itself is a marvel. They did all the programing, music creation, art asset design, and story writing. Everything all molded by one person really is inspiring. If I were to temper my review with this fact alone I would have a hard time not giving it a 10, but I feel like that then no other game could really compare to it, so when comparing it as a whole I'd say it's easily an 85-90.",user-reviews
stardew-valley,9,"Meilleur jeu de ferme, un vrai classique super addictif, un vrai chef d'oeuvre. 18/20",user-reviews
stardew-valley,9,It's still a very charming RPG that lingers in my memory. The valuable experiences gained from this game will likely stay with me for a long time.,user-reviews
stardew-valley,8,"Cozy game that lets you do a lot of stuff either alone, with your friends or partner. I myself played this game with my girlfriend and it's been nothing but an awesome experience. Loved every minute of it!",user-reviews
stardew-valley,10,İndie oyunların Atatürk'ü pcde 700 saatim var 1 dakikası bile sıkılmadım.,user-reviews
stardew-valley,10,"De mis juegos favoritos desde que lo inicie fue un no parar y como te metes en este mundo y solo quieres seguir y seguir, mecánicas que encantan, progresión que satisface y un apartado artístico hermoso... de mis juegos favoritos Escala de 0 - 10 Jugabilidad : 10 Historia : 10 Calidad de desarrolla : 10 Apartado artístico : 10 Banda sonora : 10 Lo Mejor: Todo de principio a fin me ha encantado este juego Lo peor: No tengo tiempo para dedicarle mas (jajaja)",user-reviews
stardew-valley,9,"(Reseña sacada de mi cuenta de Steam: APolChrome) 80 horas (lo que me ha valido para jugar los 3 primeros años de la granja) de **** Valley y siento que no he visto ni la mitad del contenido. **** Valley es un juego excelente que busca dar una experiencia de calma en la industria. Y es necesario tener juegos como este. En una época que todos los juegos son mundos abiertos masivos con gráficos mejores que la vida real, con un montón de mecánicas, vienen bien juegos así, simples pero que por su premisa sacan prácticamente horas infinitas de entretenimiento. Tengo muchas cosas que decir, así que empezamos. **** Valley ha establecido unos estándares para un género tan de nicho como el de gestión de granja que casi ningún juego va a poder cumplirlos. Recordemos que está desarrollado por 1 persona y el curro que lleva detrás es una locura. El gameplay es increíble. No quiero centrarme en controles (porque no hace falta), pero si en las actividades y el ""loop"" de juego. Este juego nos proporciona 5 maneras principales de conseguir dinero: agricultura, ganadería, recolección, minería y pesca. Cada una tiene distintas mecánicas y herramientas, pero da igual cuál hagas. Eso es lo mejor. El juego nunca te obliga a hacer algo. De hecho, por hacer puedes solo recoger los objetos que hay por Pueblo Pelícano y ya. Pero las mecánicas que rodean a las formas son tan buenas, que vas a hacer todas. Voy a explicarlas un poco. -Agricultura: azada para arar la tierra y semillas para plantar. cada estación tiene ciertos cultivos que se venden a muy buenos precios y que requieren de ciertos días regándolos (cuanto más ****, más dinero valen). Con esto, ya tenemos algo para hacer en el comienzo del día. -Ganadería: criar animales para conseguir objetos. Aunque suene simple, puedes hacerte amigo de tus animales y pueden enfadarse si no les das comida (no ten dan nada). Cuanta más amistad tengan, mejores productos te darán. Otra cosa para complementar al inicio del día con la agricultura -Minería: en mi opinión la mejor. Hay una mina principal (otra está en el desierto de Calico) en la que tienes que ir descendiendo poco a poco, y cada cinco pisos hay ascensor. Es una manera fácil y a la vez arriesgada de conseguir dinero, por los monstruos que hay en la mina. Esta actividad suele ocupar mucho del día. -Recolección: recoger cosas del mapa. Ya está -Pesca: el mejor sistema de pesca que he visto. No se basa en machacar tu dedo contra un botón, sino que tienes que seguir al pez con una barrita verde mientras sube y baja. También genera bastante, aunque depende mucho de la hora del día y la estación. Solo estas 5 mecánicas, hacen que cada día salgas y tengas algo con lo que llenar el día. Ya fuera de esto, la cantidad de cosas por hacer es inmensa. El centro cívico es increíble y aporta al juego una vida útil muy alta, teniendo que jugar todas las estaciones y conocerlas, además de que ayuda a restaurar el pueblo. Esto sumado al museo, que me queda bastante y que se centra en la mina sobre todo, aportando más valor a la minería. La manera de socializar con los vecinos es real. No es como en otros que le regalas cualquier cosa y le gusta. Aquí cada uno tiene sus gustos y te pueden decir a la cara odio tu regalo. Además de que la progresión de todo es muy natural y no se sienten avances ni muy rápidos ni muy lentos. Puedes casarte y formar una familia, ir a un desierto para conseguir más materiales. Los eventos del juego están muy logrados y aunque se repitan en los años, se sienten distintos de cierta manera. La sensación de comunidad es increíble... Me dejo un millón de cosas, pero **** Valley tiene un gameplay perfecto. Audiovisualmente, está bastante bien, sobre todo si tenemos en cuenta que lo ha hecho una sola persona. Los gráficos son buenos, y el estilo artístico muy bonito (con una paleta de colores claros muy bonita) y la OST está bien, no destaca excesivamente pero es aceptable. La narrativa es buena para dar contexto, aunque no tiene mucho peso en el juego. Si que tiene muchas cosas pero no se siente muy completa la narrativa. Resumiendo, **** Valley es tan bueno que ya no podremos jugar a otro juego de granjas sin pensar en él. Hace todo tan bien, que se hace una calma de jugar. Obra maestra y recomendadísimo (pero juégalo por favor no me dejes aquí con la reseña y tú sin el juego)",user-reviews
stardew-valley,9,Uno dei titoli che mi ha fatto passare più ore davanti al PC! Seppure non sia un granché a me è piaciuto tantissimo e lo raccomando a tutte le persone che ci vogliono giocare da sole o in coop in Lan.,user-reviews
stardew-valley,10,"this game is very good, its soundtrack is great, the character development is amazing and I have no criticisms for this game.",user-reviews
stardew-valley,7,"É um bom jogo. No começo você vai ficando lotado de coisas para fazer e a medida que passa se torna mais algo repetitivo e lento. No entanto, é um jogo com uma boa ambientação, trilha sonora e personagens. Bom para jogar com os amigos, anima muito mais o jogo.",user-reviews
stardew-valley,10,"Quando minha esposa me chamou para jogar, achei que íamos jogar uma vez ou outra, bem ocasionalmente. Hoje em dia é quase como uma parte da rotina, um ritual: depois do trabalho e do jantar, jogar algumas horas de **** Valley para esquecer dos problemas do dia e conseguir dormir bem pra enfrentar o mundo.",user-reviews
stardew-valley,9,Best farm game i ever played and not only a farm game u must play that game if u have free time or want to relax,user-reviews
stardew-valley,10,"esse jogo é maravilhoso, ele é muito bem pensado, com vários detalhes super legais! todos deveria ter essa experiencia. ele é super compativel e leve, jogue!",user-reviews
stardew-valley,10,"What a masterpiece, for everyone who loves old gameboy styled games. The graphic style is made oldish but the game itself feels so new and innovative, its full of cool ideas, and cute events, many things to do, the only maybe not so perfect categorie in this is the fighting. But even with that, the game made me play 400hours and more.",user-reviews
stardew-valley,10,Most chill vibe game in the world and very casual. Is funny as **** dude like,user-reviews
stardew-valley,10,"Solo puedo definir esta obra maestra en una simple palabra: JUEGAZO. Si estas dudando en si comprártelo o no, más allá de que el precio del juego es un regalo y más cuando esta de oferta, puedo poner fe ciegamente con mis más de 63hs en este juego, que te conviene comprarlo, no lo dudes, es muy entretenido, una estética muy bonita, un soundtrack que es una JOYITA, muy relajante pero eso no significa que no te de sus buenas peleas/retos. Se nota que Eric Barone (Creador de ****) le dio mucho amor y cariño a este juego y que aunque este desarrollando su nuevo juego ""Haunted Chocolatier"" que con los avances que nos muestra, se lo ve muy prometedor, no a dejado completamente de lado a ****, por el contrario, sigue actualizando y arreglando pequeños detalles del mismo. No voy a contar nada sobre el juego porque es muy gratificante explorarlo por uno mismo y sorprenderse con cada detalle que nos dejo el creador. Simplemente agradecer a Eric Barone por darnos este mimo al alma llamado ""**** Valley"" y a esperar con ansias su nuevo titulo que se lo ve incluso más adictivo que nuestro juego de granja! The translation of the text into English: I can only define this masterpiece in one simple word: AMAZING. If you're hesitating whether to buy it or not, beyond the fact that the game's price is a steal, especially when it's on sale, I can vouch blindly, with my more than 63 hours spent in this game, that it's worth buying without a doubt. It's incredibly entertaining, with a beautiful aesthetic and a soundtrack that's an absolute gem, very relaxing, but that doesn't mean it won't give you some good battles and challenges. You can tell that Eric Barone (Creator of ****) poured a lot of love and care into this game, and even though he's working on his new game ""Haunted Chocolatier,"" which looks very promising based on the previews, he hasn't completely abandoned ****. On the contrary, he continues to update and fix small details in the game. I won't spoil anything about the game because it's so rewarding to explore it yourself and be amazed by every detail the creator has left for us. I just want to express my gratitude to Eric Barone for giving us this soulful delight called ""**** Valley,"" and I eagerly await his new title, which seems even more addictive than our beloved farming game!",user-reviews
stardew-valley,8,+Abi bana bi goth gf hafif otistik olsun veganlık atma resim çiziyo olsun -Tarot baksın mı? +baksın abi yanına kült anime hayranlığı ekle -başka bi şey var mı kardeşim? +Sigara bağımlısı olsun abi saç dipleri belirmeye başlasın -Tamamdır kardeşim +Borcum nedir abi? -Akıl sağlığın kardeşim. +Ellerine sağlık abi kolay gelsin iyi günler.,user-reviews
stardew-valley,10,The BEST farming game ever made. Very relaxing and calm. Everyone should play it. NOW.,user-reviews
stardew-valley,10,"Tag this game. I'm preparing to play this game, but I haven't started playing yet. I'm just tagging this game so that I can find it easily when I play it in the future.",user-reviews
stardew-valley,10,Saka maka 500 saatden fazla oynamışımdır. Hahahahahahahahahhahahahahahhahahaha,user-reviews
stardew-valley,10,"I never get tired of this game. Since its original release I had bought it multiple times for different platforms, including the Nintendo Switch, Android Phone, Xbox and now PC. **** Valley is a game everyone must experience. 10/10!",user-reviews
stardew-valley,9,it good i like feeling happy while playing games reviews have to be 75 characters so i'm adding this part to fluff it up,user-reviews
stardew-valley,3,"(I dislike it but it's not bad per say) The map is way too big for how slow you move, it takes way to long to get around and the controls are also awkward as hell/bad as far as framing games go there is only one that i would rather play this over and thats framing sim but there are so many better framing games such as harvest moon",user-reviews
stardew-valley,10,A spiritual successor to Harvest Moon that manages to surpass it. I was hesitant at first but it's truly an amazing game. It could only be improved with better character art.,user-reviews
stardew-valley,10,It doesn't explain why this game is one of the best indies out there because just by playing the first year of the game you can already see how good it is.,user-reviews
stardew-valley,7,Je suis détendu. Le jeu est si banale que je ne comprends pas pourquoi je l'adores.,user-reviews
stardew-valley,10,**** Valley es con diferencia unos de los mejores juegos tanto indie como en general. Un juego que literalmente revive los simuladores agrícolas y hace que los próximos lanzamientos del mismo género pillen ideas principales para implementarlas. En mi humilde opinión creo que **** Valley se merece un sello de oro por todo lo que hizo en la industria de los videojuegos.,user-reviews
stardew-valley,10,[SPOILER ALERT: This review contains spoilers.],user-reviews
stardew-valley,9,[SPOILER ALERT: This review contains spoilers.],user-reviews
stardew-valley,10,A pioneer in its genre and indie games. Thanks to Dear Eric Barone for being so persistent in creating this game.,user-reviews
stardew-valley,9,"Great game. Returned after years, and it’s still good playing gameplay. Also tried to play coop with a kid, it was fun.",user-reviews
stardew-valley,10,I want to be a farmer. I want to catch a fish. I want to go to mine. I want to spend all of my money for gift.,user-reviews
stardew-valley,10,"Amo este juego, nunca me había viciado tanto a un videojuego, es increíble, tanto la música como los personajes y todo lo que puedes hacer, realmente lo recomiendo a todo el mundo que le guste este genero",user-reviews
stardew-valley,7,"Un juego muy tranquilo, con mecanicas sencillas y muy relajante. Disfrutable si sos de la clase de jugadores que no les gusta andar traihardeando",user-reviews
stardew-valley,10,I have to text something without another option if I want to rate the game: ten points. Enough? Haha.,user-reviews
stardew-valley,8,"**** Valley is a peaceful, feel-good video game. Building your own farm and foraging around the map can be quite satisfying. The story and NPCs are okay. The amount of action and battle is a bit underwhelming. You can play it with friends which is great.",user-reviews
stardew-valley,10,10/10 **** Valley is a amazing game! You can get hot **** which i cant do irl.,user-reviews
stardew-valley,10,"**** Valley é um jogo fofo com uma premissa simples, você está cansado de seu atual trabalho, abre uma carta do seu avô e nela há a escritura da herança onde ele deixou para você uma pacata fazenda. A partir dai você começa sua vida no campo retirando os primeiros galhos e pedras e arando seu primeiro metro quadrado de solo até ter uma fazenda autossuficiente no futuro. A gameplay do jogo tem um rítmo lento, assim como uma pequena horta em casa requer dedicação, tempo e uma pitada de amor, o jogo possui um sistema de calendário simples de 28 dias (cada dia passa em alguns minutos) em que cada um representa uma estação do ano. A cada dia e a cada estação sua fazenda vai evoluindo e seu relacionamento com os integrantes daquele vilarejo vai se intensificando. Um jogo muito relaxante, gostoso de se jogar, com historia e personagens cativantes, e uma gameplay de simulador/rpg divertida e gostosa. A história apesar de muito simples é fofa e cativante e cada personagem tem seu brilho, trilha sonora e gostosa e a direção de arte é baseada nos jogos antigos. Recomendo esse jogo para pessoas que gostam de um passatempo gostoso, divertido e sem muito complicação.",user-reviews
stardew-valley,10,"When I first played this game, I couldn't imagine how great it would be. While you wait a little above average, **** Valley offers you a great experience with its gameplay, story, music, art and all other characters. The game is a good game for distraction outside of normal times. You can easily warm up to and bond with the characters and everything else. ConcernedApe has done a truly admirable job, a heart-warming production. This is the highest rating I can give for this game. 10. Simply perfect.",user-reviews
stardew-valley,10,**** takes a simple concept and turns it into something so touching and magical. I love this game. The art style is charming and the music is beautiful. The best part is that there are so many hidden secrets that you can discover.,user-reviews
stardew-valley,10,"Story - 8 Gameplay - 10 Graphics|Visuals - 8|10 (The difference is, the graphics are ok, but the way the graphics are used is a 10/10 if that makes sense). SFX|Music - 10|9 Pleasure - 10 Atmosphere - 10 Length - About 50 hours, and about 160 for 100% Replayability - For sure, you can go back with mods, for 100% completion, or just for fun because now you know how to play the game. Co-Op|Co-Op Enjoyability - Yes|10 NPCs - 8 Combat - 8 Controls - 9 Mod Community - 10 Cross Platform - No. (As of Feb 2023). What it's like to play: **** Valley is a grindy farming game. You farm, ranch, mine, fish, and build relationships with the NPCs in Pelican Town. But of course Pelican Town isn't the only location in **** Valley. You can visit another location that I won't spoil. However there is a negative of this game. It's a confusing game, and you will almost definitely need to use the wiki page to know how to do a lot of stuff. Overall: 8.6 I highly recommend this game, 10/10 for me. Although it totals to 8.6, I truly love this game. The negative of needing a wiki is only a problem because of how much amazing content there is.",user-reviews
stardew-valley,10,[SPOILER ALERT: This review contains spoilers.],user-reviews
stardew-valley,1,"the worst **** that can have tried I regret a lot and all because a friend recommended it to me, an indie with the same mediocre and poor design that all indies have, and the typical farm game where you do every **** day the same job as a slave and on top of that you earn nothing and with a boring story. I give it a point because it has many redhead female npcs.",user-reviews
stardew-valley,9,"This is a fun little game you can get lost it. It is peaceful and you will have fun doing everything you do. You can invest hundreds of hours and every second will be fun. Except for one of the minigames. Screw that minecart minigame. Now, ignoring that, this is an amazing game where you can achieve many things and all of them, while slow, are always entertaining, interesting and rewarding. If you achieve something it does not only feel good on its own, you also immediately notice the positive impact. This is one of the few games where I got truely lost in and I want to bravo it for that. There were also lots of fun updates so far, adding dozens of hours of content, and there are likely more to come.",user-reviews
stardew-valley,9,"**** Valley é um game que, de início, apresenta um conceito simples que se assemelha a Harvest Moon, mas todos sabem que é muito mais do que isso. O sentimento de leveza e curiosidade ao explorar o vasto mundo do Vale do Orvalho, combatendo os inúmeros monstros nas minas, socializando com os aldeões que possuem um caráter comportamental de excelentíssima qualidade para um jogo indie, cuidando de sua fazenda todos os dias e que te não faz ficar cansado. Ainda levando em consideração a arte muito bem feita e a trilha sonora característica que sempre distribui um aconchego ao seus ouvidos. É um game espetacular, se tornou meu jogo favorito, igualmente para outros jogadores como eu.",user-reviews
stardew-valley,8,"There's a lot to like here. Okay, it's not going to give you god rays, superfantastic hyperrealistic graphics, but if you've looked at even one screenshot, none of this is going to come as a surprise. I've taken to playing more indie games these days, as AAA developers have worn me out with the bloat, the tired plots, the microtransactions, and just all-round general greed. It's funny. I'm usually the sort of person who goes for the most realistic (preferably flight and battle simulations), the most hard-hitting, the atmosphere of dread and panic. My idea of fun is being bogged down by Monolith and mutants in the STALKER Anomaly mod just as the damn gun I forgot to maintain jams on me and I leg it in terror. Often straight into an unseen anomaly. Foom. Well, this is the opposite of that. And I really like it. It's gentle, or at least as gentle as you want it to be. I think I ignored most of my farm initially and went on dungeoneering quests to Fight All The Things! Now, I relax, and farm. I say hi to my friendly chickens, rabbits, cows and goats. I grow trees. I get some nice food going. I visit the special holidays where I get to show off my nifty produce. I do a little fishing. I give people presents and hang out. It's nice. It's actually got a fair bit of complexity to it as well, but dammit, I have a good time, and I feel relaxed for it. Took me a while to learn that you can put hats on horses. Mine has a sailor's cap on, and it's adorable. You see what I mean? It's jolly. It's pleasant. It's quite immersive once you get into it. It's also very cute. But cute isn't *all* it is. It's got a lot going for it. If all that sounds bad to you, maybe you won't like it. Though you might. It's a small download, doesn't take up much space on your hard drive, won't work your CPU to boiling point and it's pretty easy to get into, but has more going on than just what is on the surface. If all that sounds good to you, then have at it. You'll most likely have a good time. I had a good time. I still have a good time with it. No one is more surprised than me.",user-reviews
stardew-valley,10,"Masterpiece. Relaxing, charming and beautiful. I don't need to say anything else.",user-reviews
stardew-valley,6,**** Valley = 6/10 .....................................................,user-reviews
stardew-valley,10,Very Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good,user-reviews
stardew-valley,8,"sweet and cute **** game, very soft and as long as you want it to be, with a slow yet complete gameplay more than just a farm simulator for sure, but still a farm simulator",user-reviews
stardew-valley,10,"Tengo este juego en pc, consola y movil, es un lugar que te hace sentir tan bien y seguro, yo lo pensaba hace un tiempo. Me recuerda a esos dias de lluvia despues del cole en el que podias llegar a casa y tomar un chocolate caliente, es simplemente un lugar seguro.",user-reviews
stardew-valley,5,minecraftın 2d hali tam olarak ama oyunu rpg yle harmanlayıp sunmuşlar bana hitap etmedi 2d olduğu için usta...,user-reviews
stardew-valley,9,"The game has so much to offer. There are many things to do in the game such as mining, fishing, farming, growing crops, exploring, designing house, fighting monsters, meeting new people. I have spent more than 100 hours and I had fun most of the time. It was a peaceful experience overall.",user-reviews
stardew-valley,7,"Забавная пиксельная игра про обустройство собственной фермы. В игре достаточно занятий: фермерство, животноводство, собирательство, зачистка 100 уровневого подземелья, много предметов для крафта. В целом очень приятная игра если хочется поаутировать сбежав от городской суеты.",user-reviews
stardew-valley,9,"**** Valley is a polished, thoughtful experience which everyone can enjoy. No matter how slow or serious you take the game, the easily understandable gameplay never seems dull or repetitive. **** Valley is a shining example of the farming game genre which will most likely stand at the top for a long time.",user-reviews
stardew-valley,9,(╯°□°）╯︵ ┻━┻ ┻━┻ ︵ ヽ(°□°ヽ) ┻━┻ ︵ ＼( °□° )／ ︵ ┻━┻ ┬─┬ノ( º _ ºノ) (ﾉಥ益ಥ）ﾉ ┻━┻ ┬──┬ ¯_(ツ) ┻━┻ ︵ヽ(`Д´)ﾉ︵ ┻━┻ ┻━┻ ︵ ¯(ツ)/¯ ︵ ┻━┻ (╯°Д°）╯︵ /(.□ . ) ʕノ•ᴥ•ʔノ ︵ ┻━┻,user-reviews
stardew-valley,8,10 - Masterpiece 9 - Amazing 8 - Great 7 - Good 6 - Okay 5 - Mediocre 4 - Bad 3 - Awful 2 - Painful 1 - Unbearable,user-reviews
stardew-valley,9,This game is amazing. Its the perfect game to play if you just want to sit back and have fun.,user-reviews
stardew-valley,10,I love how the game is so calm and you can always do stuff and stop doing things. i love how you can make the farm so beautiful and calm,user-reviews
